Epoch,LR,Train Loss,Global Val Acc,AffectNet Acc,EmoSet-118k Acc,ExpWFormated Acc,FERPlus Acc,MMAFEDB Acc,NHFI Acc,RAF-DB Acc,jaffeFormated Acc
208,0.0001889084504338169,0.8944,82.15,75.48,82.01,77.35,96.28,75.98,71.67,88.60,94.12
209,0.00018836024565081885,0.8917,82.28,75.74,81.90,77.10,96.32,76.23,72.92,89.17,94.12
210,0.00018781044089220583,0.9051,82.42,76.23,82.32,77.31,96.37,76.29,72.29,88.93,100.00
211,0.00018725905123115303,0.8884,82.45,76.23,82.29,77.31,96.43,76.40,72.08,88.51,100.00
212,0.0001867060917842865,0.9010,82.45,75.83,82.35,77.74,96.39,76.37,72.08,88.68,100.00
213,0.0001861515777112688,0.9132,82.43,75.92,82.04,77.78,96.41,76.44,71.67,88.51,100.00
214,0.00018559552421438342,0.8971,82.47,76.05,82.26,77.49,96.46,76.46,72.29,88.43,100.00
215,0.00018503794653811778,0.8911,82.48,76.41,82.01,77.78,96.48,76.39,72.71,88.18,100.00
216,0.00018447885996874562,0.8877,82.49,76.49,82.35,77.81,96.39,76.23,73.12,88.51,100.00
217,0.00018391827983390758,0.8967,82.36,75.70,82.26,77.56,96.43,76.15,73.12,88.68,100.00
218,0.0001833562215021913,0.8887,82.45,76.14,82.18,77.46,96.44,76.33,73.33,88.68,100.00
219,0.00018279270038270982,0.8986,82.51,76.27,82.07,77.63,96.43,76.39,73.96,89.01,100.00
220,0.00018222773192467931,0.9050,82.56,76.10,82.26,77.88,96.34,76.47,73.75,89.09,100.00
221,0.00018166133161699543,0.8977,82.54,75.92,82.46,77.74,96.37,76.41,74.17,89.01,94.12
222,0.00018109351498780873,0.9003,82.46,75.70,82.26,77.67,96.41,76.41,73.75,88.43,94.12
223,0.00018052429760409894,0.8847,82.52,76.32,82.18,77.88,96.43,76.33,74.58,88.51,94.12
224,0.00017995369507124815,0.8954,82.53,76.41,82.15,77.56,96.43,76.38,74.79,88.93,94.12
225,0.00017938172303261305,0.8871,82.63,76.27,82.49,77.71,96.51,76.44,75.00,88.93,100.00
226,0.00017880839716909603,0.8955,82.51,76.36,82.29,77.56,96.44,76.26,74.38,89.01,100.00
227,0.00017823373319871523,0.8822,82.52,76.54,82.37,77.67,96.43,76.16,75.00,89.01,100.00
228,0.00017765774687617366,0.8872,82.43,76.45,82.68,77.31,96.41,76.00,74.38,88.68,100.00
229,0.00017708045399242737,0.8784,82.43,76.67,82.60,77.13,96.41,76.05,73.96,88.60,100.00
230,0.00017650187037425235,0.9026,82.36,76.18,82.37,77.10,96.37,76.10,73.75,88.84,100.00
231,0.0001759220118838108,0.8844,82.36,75.92,82.57,77.06,96.35,76.15,73.12,88.76,100.00
232,0.00017534089441821607,0.8883,82.43,76.41,82.57,77.06,96.34,76.30,72.71,88.51,100.00
