Epoch,LR,Train Loss,Global Val Acc,AffectNet Acc,EmoSet-118k Acc,ExpWFormated Acc,FERPlus Acc,MMAFEDB Acc,NHFI Acc,RAF-DB Acc,jaffeFormated Acc
141,0.0002703836772846818,0.9957,80.47,71.49,79.12,76.06,95.59,74.63,69.58,86.94,94.12
142,0.00026730985795404356,1.0039,80.52,71.45,79.34,75.85,95.64,74.74,69.38,87.02,94.12
143,0.000264234094754134,0.9811,80.53,71.49,79.40,75.85,95.63,74.68,70.21,87.11,94.12
144,0.0002611568733836177,0.9879,80.51,71.54,79.46,75.53,95.66,74.73,68.75,87.36,94.12
145,0.0002580786797714214,0.9920,80.40,71.18,79.29,75.53,95.66,74.62,68.54,87.11,94.12
146,0.000255,0.9934,80.49,71.58,79.40,75.74,95.71,74.59,68.75,87.36,94.12
147,0.0002519213202285786,0.9830,80.53,71.71,79.60,75.71,95.68,74.58,68.96,87.44,94.12
148,0.0002488431266163823,0.9824,80.53,71.58,79.48,75.92,95.73,74.55,68.96,87.44,94.12
149,0.000245765905245866,0.9769,80.52,71.62,79.40,75.60,95.79,74.61,69.38,87.44,94.12
150,0.00024269014204595645,0.9925,80.45,71.67,79.03,75.60,95.73,74.63,68.75,87.19,94.12
151,0.00023961632271531829,0.9851,80.53,71.85,78.98,75.63,95.77,74.85,68.33,87.11,94.12
152,0.00023654493264565647,0.9741,80.43,71.89,78.84,75.85,95.70,74.62,68.75,86.78,94.12
153,0.00023347645684506792,0.9578,80.43,71.36,79.12,75.99,95.75,74.63,68.54,86.36,94.12
154,0.00023041137986145235,0.9808,80.53,71.40,79.23,76.03,95.82,74.79,68.54,86.28,94.12
155,0.00022735018570599696,0.9692,80.48,71.14,79.32,75.78,95.79,74.81,68.12,86.36,94.12
156,0.0002242933577767455,0.9747,80.56,71.00,79.43,76.06,95.84,74.81,68.96,86.61,94.12
157,0.00022124137878226367,0.9622,80.56,70.96,79.43,75.85,95.82,74.82,70.21,86.78,94.12
158,0.0002181947306654145,0.9687,80.62,71.27,79.46,75.71,95.79,74.98,70.00,86.69,94.12
159,0.0002151538945272535,0.9588,80.57,71.05,79.48,75.71,95.79,74.93,69.17,86.69,94.12
160,0.0002121193505510574,0.9456,80.54,70.83,79.20,75.49,95.73,75.08,70.00,86.61,94.12
161,0.00020909157792649746,0.9591,80.57,70.92,79.15,75.74,95.70,75.11,70.00,86.69,94.12
162,0.0002060710547739703,0.9550,80.58,70.78,79.20,75.74,95.71,75.11,70.62,86.61,94.12
163,0.0002030582580690966,0.9552,80.60,70.78,79.37,76.03,95.71,75.03,70.21,86.69,94.12
164,0.00020005366356740158,0.9504,80.59,70.78,79.48,75.92,95.73,74.96,70.42,86.78,94.12
165,0.00019705774572918743,0.9531,80.62,70.78,79.40,75.85,95.77,74.96,70.83,87.36,94.12
166,0.0001940709776446106,0.9618,80.69,70.52,79.40,76.21,95.73,75.07,71.88,87.36,94.12
167,0.00019109383095897525,0.9654,80.73,70.65,79.40,76.24,95.82,75.11,71.25,87.60,94.12
168,0.00018812677579825528,0.9673,80.79,70.69,79.37,76.03,95.79,75.34,71.04,87.77,94.12
169,0.00018517028069485586,0.9392,80.76,70.21,79.32,76.13,95.89,75.34,70.83,87.69,94.12
170,0.00018222481251362643,0.9504,80.78,70.08,79.23,76.31,96.00,75.38,70.62,87.36,94.12
171,0.0001792908363781379,0.9533,80.73,69.99,79.20,76.38,96.02,75.22,70.83,87.44,94.12
172,0.0001763688155972337,0.9315,80.73,70.03,79.32,76.06,96.02,75.25,71.25,87.36,94.12
173,0.0001734592115918683,0.9507,80.76,70.43,79.48,76.13,96.11,75.05,70.62,87.93,94.12
174,0.0001705624838222433,0.9594,80.84,70.43,79.82,76.46,96.12,75.05,71.04,87.44,94.12
175,0.0001676790897152536,0.9541,80.86,70.65,79.68,76.60,96.21,74.99,71.04,87.69,94.12
176,0.0001648094845922539,0.9402,80.86,70.83,79.76,76.60,96.25,74.91,71.46,87.19,94.12
177,0.00016195412159715874,0.9296,80.83,70.61,79.71,76.71,96.27,74.90,70.83,87.27,94.12
178,0.00015911345162488544,0.9271,80.82,70.61,79.65,76.81,96.23,74.92,69.58,87.44,94.12
179,0.00015628792325015264,0.9415,80.84,70.25,79.88,76.88,96.32,74.86,69.79,87.52,94.12
180,0.0001534779826566454,0.9369,80.88,70.39,80.04,76.92,96.43,74.85,69.58,87.27,94.12
181,0.0001506840735665572,0.9290,80.80,69.85,80.04,76.85,96.44,74.77,69.79,87.19,94.12
182,0.00014790663717052148,0.9119,80.84,70.16,79.85,76.60,96.50,74.90,70.00,87.44,94.12
183,0.00014514611205794213,0.9259,80.84,70.34,79.71,76.49,96.44,74.98,70.62,87.11,94.12
184,0.00014240293414773548,0.9223,80.74,70.34,79.65,76.53,96.41,74.74,70.83,87.02,94.12
185,0.0001396775366194936,0.9262,80.86,70.16,79.68,76.71,96.46,74.95,71.25,87.27,94.12
186,0.0001369703498450798,0.9162,80.87,70.30,79.60,76.63,96.46,75.01,70.83,87.44,94.12
187,0.0001342818013206685,0.9172,80.88,70.34,79.60,76.81,96.41,75.03,70.21,87.52,94.12
188,0.0001316123155992386,0.9195,80.90,70.47,79.74,76.85,96.46,74.95,70.42,87.44,94.12
189,0.0001289623142235309,0.9089,80.91,70.87,79.74,76.88,96.46,74.90,69.58,87.52,94.12
190,0.00012633221565948254,0.9214,80.89,70.65,79.74,76.67,96.43,74.96,70.00,87.44,94.12
191,0.0001237224352301459,0.9204,80.95,70.92,79.90,76.71,96.48,74.95,70.21,87.52,94.12
192,0.00012113338505010409,0.9143,80.98,70.96,79.90,76.88,96.44,75.00,69.79,87.44,94.12
193,0.00011856547396039392,0.8985,80.97,70.96,79.85,77.10,96.39,74.95,70.21,87.52,94.12
194,0.0001160191074639447,0.9066,80.95,71.14,79.82,76.96,96.43,74.89,70.21,87.36,94.12
195,0.00011349468766154448,0.8920,80.92,70.78,79.76,77.13,96.51,74.82,70.21,87.27,94.12
196,0.0001109926131883441,0.9092,80.90,70.74,79.51,77.17,96.57,74.84,70.62,86.94,94.12
197,0.00010851327915090797,0.8884,81.00,70.83,79.65,77.24,96.59,75.06,69.79,87.02,94.12
198,0.00010605707706482165,0.9069,80.96,70.96,79.37,77.28,96.67,74.98,70.00,86.78,94.12
199,0.00010362439479286803,0.9044,80.95,70.92,79.43,77.24,96.69,74.89,70.21,87.11,94.12
200,0.00010121561648377841,0.8928,80.90,70.47,79.32,77.38,96.69,74.85,69.79,87.27,94.12
201,9.883112251157101e-05,0.9066,80.91,70.56,79.57,77.21,96.67,74.84,69.58,87.19,94.12
202,9.64712894154861e-05,0.9038,80.93,70.56,79.82,77.17,96.73,74.75,70.21,87.19,94.12
203,9.413648984052571e-05,0.8968,80.90,70.56,79.90,77.24,96.67,74.63,70.21,87.11,94.12
204,9.182709247860836e-05,0.8853,80.91,70.69,79.88,77.17,96.66,74.70,70.42,86.86,94.12
205,8.9543462010349e-05,0.8824,80.98,70.74,80.21,77.03,96.73,74.75,70.83,86.78,94.12
206,8.728595904747134e-05,0.8966,81.01,70.87,80.19,76.99,96.75,74.83,70.21,86.78,94.12
207,8.505494007586282e-05,0.8844,80.99,70.61,80.30,76.88,96.78,74.83,70.00,86.86,94.12
208,8.285075739928189e-05,0.8898,81.00,70.47,80.13,76.74,96.82,75.01,69.79,86.61,94.12
209,8.067375908372508e-05,0.8978,81.09,70.78,80.35,76.49,96.87,75.11,69.79,86.86,94.12
210,7.85242889024628e-05,0.8777,81.04,70.74,80.27,76.38,96.87,75.07,69.79,86.69,94.12
211,7.640268628175414e-05,0.8716,81.06,70.74,80.38,76.49,96.82,75.03,70.21,86.86,94.12
212,7.43092862472474e-05,0.8810,81.06,70.65,80.41,76.46,96.92,75.10,69.58,86.45,94.12
213,7.224441937107538e-05,0.8681,81.04,70.65,80.52,76.31,96.85,75.06,69.38,86.69,94.12
214,7.020841171965455e-05,0.8705,81.07,70.39,80.52,76.28,96.82,75.23,69.17,86.78,94.12
215,6.820158480219532e-05,0.8759,81.06,70.30,80.52,76.53,96.85,75.14,68.96,86.69,94.12
216,6.622425551993166e-05,0.8691,81.07,70.34,80.47,76.81,96.78,75.14,69.17,86.61,94.12
217,6.427673611607928e-05,0.8671,81.02,70.21,80.33,76.78,96.71,75.14,69.17,86.61,94.12
218,6.235933412652845e-05,0.8715,80.99,70.21,80.21,76.74,96.82,75.10,69.38,86.28,94.12
219,6.047235233128033e-05,0.8799,81.03,70.25,80.13,76.96,96.82,75.11,69.79,86.53,94.12
220,5.861608870663519e-05,0.8803,81.04,70.47,80.02,76.85,96.82,75.13,69.58,86.78,94.12
